title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Xe Máy Điện YADEA OSSY Phiên Bản 2024 - Xe Điện YADEA OSSY - Bảo Hành 2 Năm,21.990.000 ₫,https://www.lazada.vn/products/xe-may-dien-yadea-ossy-phien-ban-2024-xe-dien-yadea-ossy-bao-hanh-2-nam-i2654241589.html,1,1,12% Off,Hà Nội,lazada,bike,1,Official
Xe máy Honda LEAD phiên bản Đặc biệt,42.600.000 ₫,https://www.lazada.vn/products/xe-may-honda-lead-phien-ban-dac-biet-i2244015318.html,2,2,4% Off,Hồ Chí Minh,lazada,bike,2,Official
Xe máy Honda SH 125i phiên bản Đặc biệt,79.375.000 ₫,https://www.lazada.vn/products/xe-may-honda-sh-125i-phien-ban-dac-biet-i2244276481.html,3,3,8% Off,Hồ Chí Minh,lazada,bike,3,Official
Xe máy Honda Future 125 FI 2024,35.905.000 ₫,https://www.lazada.vn/products/xe-may-honda-future-125-fi-2024-i2554940844.html,4,4,2% Off,Hồ Chí Minh,lazada,bike,4,Official
Xe máy Honda WAVE ALPHA 110cc phiên bản Tiêu chuẩn 2023,18.914.000 ₫,https://www.lazada.vn/products/xe-may-honda-wave-alpha-110cc-phien-ban-tieu-chuan-2023-i2402147354.html,5,5,8% Off,Hồ Chí Minh,lazada,bike,5,Official
Xe máy Honda WAVE ALPHA 110cc phiên bản Đặc biệt 2023,19.732.000 ₫,https://www.lazada.vn/products/xe-may-honda-wave-alpha-110cc-phien-ban-dac-biet-2023-i2402102513.html,6,6,6% Off,Hồ Chí Minh,lazada,bike,6,Official
[TRẢ GÓP 0%] Xe Máy Điện Yadea VIGOR 70Km Một Lần Sạc Thiết Kế Châu Âu Hiện Đại- Bảo Hành 2 Năm,17.990.000 ₫,https://www.lazada.vn/products/tra-gop-0-xe-may-dien-yadea-vigor-70km-mot-lan-sac-thiet-ke-chau-au-hien-dai-bao-hanh-2-nam-i2530149998.html,7,7,10% Off,Hà Nội,lazada,bike,7,Official
Xe máy Honda VARIO 160,44.595.000 ₫,https://www.lazada.vn/products/xe-may-honda-vario-160-i2243997897.html,8,8,10% Off,Hồ Chí Minh,lazada,bike,8,Official
Xe máy Honda BLADE phiên bản Tiêu chuẩn 2023,18.240.000 ₫,https://www.lazada.vn/products/xe-may-honda-blade-phien-ban-tieu-chuan-2023-i2402052684.html,9,9,10% Off,Hồ Chí Minh,lazada,bike,9,Official
Xe máy Honda BLADE phiên bản Thể thao 2023,21.515.000 ₫,https://www.lazada.vn/products/xe-may-honda-blade-phien-ban-the-thao-2023-i2402030700.html,10,10,5% Off,Hồ Chí Minh,lazada,bike,10,Official
Xe máy điện VinFast EVO200 Lite,18.000.000 ₫,https://www.lazada.vn/products/xe-may-dien-vinfast-evo200-lite-i2020937836.html,11,11,,"703 Đã bán
(282)
Hà Nội",lazada,bike,11,Official
Xe máy điện VinFast EVO 200,18.000.000 ₫,https://www.lazada.vn/products/xe-may-dien-vinfast-evo-200-i2020739123.html,12,12,,"281 Đã bán
(80)
Hà Nội",lazada,bike,12,Official
Xe Máy Yamaha Freego S 2024 Phiên Bản ABS,30.200.000 ₫,https://www.lazada.vn/products/xe-may-yamaha-freego-s-2024-phien-ban-abs-i2526644344.html,13,13,,Hồ Chí Minh,lazada,bike,13,
Xe máy Honda SH 125i 2024,75.470.000 ₫,https://www.lazada.vn/products/xe-may-honda-sh-125i-2024-i2489352729.html,14,14,3% Off,Hồ Chí Minh,lazada,bike,14,Official
Xe Máy Điện Mavericks N1S N7 Rùa Nhỏ Cưỡi Tốc Độ Cải Trang Msp Đảo Ngược Giảm Xóc Phía Sau Thủy Lực Giảm Xóc Phía Sau,671.000 ₫,https://www.lazada.vn/products/xe-may-dien-mavericks-n1s-n7-rua-nho-cuoi-toc-do-cai-trang-msp-dao-nguoc-giam-xoc-phia-sau-thuy-luc-giam-xoc-phia-sau-i2525070568.html,15,15,,Nước ngoài,lazada,bike,15,
Xe máy Honda SH 160i 2024,94.910.000 ₫,https://www.lazada.vn/products/xe-may-honda-sh-160i-2024-i2489435392.html,16,16,,Hồ Chí Minh,lazada,bike,16,Official
[DUY NHẤT 10.5 - GIẢM 1 TRIỆU] Xe Đạp Điện YADEA IGO Cho Học Sinh Nhỏ Gọn 55Km Một Lần Sạc - Bảo Hành 2 Năm,12.990.000 ₫,https://www.lazada.vn/products/duy-nhat-105-giam-1-trieu-xe-dap-dien-yadea-igo-cho-hoc-sinh-nho-gon-55km-mot-lan-sac-bao-hanh-2-nam-i2528503726.html,17,17,19% Off,Hà Nội,lazada,bike,17,Official
Xe Máy Honda Airblade 125 Phiên bản đặc biệt (2023)(Phanh CBS) MỚI,42.500.000 ₫,https://www.lazada.vn/products/xe-may-honda-airblade-125-phien-ban-dac-biet-2023phanh-cbs-moi-i1646032951.html,18,18,,Hồ Chí Minh,lazada,bike,18,
