title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Sách - Tiếng Anh giao tiếp cho trẻ em - Đinh Tị Books,213.350 ₫,https://www.lazada.vn/products/sach-tieng-anh-giao-tiep-cho-tre-em-dinh-ti-books-i2511196106.html,https://img.lazcdn.com/g/p/c7b0457bcb2021154e97d13c651e8bd4.png_400x400q75.png_.webp,1,1,15% Off,"(2)
Hồ Chí Minh",lazada,bookandmusic,language_book,1,1
Sách - Học Tiếng Anh Qua Gốc Từ,69.000 ₫,https://www.lazada.vn/products/sach-hoc-tieng-anh-qua-goc-tu-i1497297226.html,https://img.lazcdn.com/g/p/9dc96095690dce8d06fa831b2a5f5b7c.jpg_400x400q75.jpg_.webp,2,2,20% Off,"814 Đã bán
(343)
Hà Nội",lazada,bookandmusic,language_book,2,0
Nhà sách Minh Tâm _ - Longman Pre-Essence Reading 1,60.800 ₫,https://www.lazada.vn/products/nha-sach-minh-tam-_-longman-pre-essence-reading-1-i2626453291.html,https://img.lazcdn.com/g/p/ccbd7c52904b92523fc63cda25e96450.jpg_400x400q75.jpg_.webp,3,3,20% Off,Hồ Chí Minh,lazada,bookandmusic,language_book,3,1
Giáo trình Hán Ngữ 1 Tập 1 Quyển Thượng Phiên Bản Mới - Học Kèm App - MCBooks,71.920 ₫,https://www.lazada.vn/products/giao-trinh-han-ngu-1-tap-1-quyen-thuong-phien-ban-moi-hoc-kem-app-mcbooks-i819064575.html,https://img.lazcdn.com/g/p/4c124e03f951cbe19a44ccaed99f8fa6.jpg_400x400q75.jpg_.webp,4,4,38% Off,"3.1K Đã bán
(723)
Hồ Chí Minh",lazada,bookandmusic,language_book,4,1
Sách Solution Grade 9 - Xả Kho ( kèm ảnh thật),60.000 ₫,https://www.lazada.vn/products/sach-solution-grade-9-xa-kho-kem-anh-that-i2422764632.html,https://img.lazcdn.com/g/ff/kf/Sca2dd0accdcb403abb0b164cff422939K.jpg_400x400q75.jpg_.webp,5,5,,"(1)
Hà Nội",lazada,bookandmusic,language_book,5,0
Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam Trình Độ Sơ Cấp Tập 1 - Bản Màu,166.160 ₫,https://www.lazada.vn/products/tieng-han-tong-hop-danh-cho-nguoi-viet-nam-trinh-do-so-cap-tap-1-ban-mau-i801300558.html,https://img.lazcdn.com/g/p/ac578c90a7583ce28fac3aa5104290b0.jpg_400x400q75.jpg_.webp,6,6,38% Off,"271 Đã bán
(66)
Hồ Chí Minh",lazada,bookandmusic,language_book,6,1
[HCM]Sách - Streamline English - Departures,52.200 ₫,https://www.lazada.vn/products/hcmsach-streamline-english-departures-i1292909527.html,https://img.lazcdn.com/g/p/930fff424fb8e68e468d30666b71079a.jpg_400x400q75.jpg_.webp,7,7,10% Off,"400 Đã bán
(30)
Hồ Chí Minh",lazada,bookandmusic,language_book,7,0
Nhà sách Minh Tâm _ Sách - Từ Điển Anh-Việt Bằng Hình Dành Cho Nhân Viên Y Tế,214.400 ₫,https://www.lazada.vn/products/nha-sach-minh-tam-_-sach-tu-dien-anh-viet-bang-hinh-danh-cho-nhan-vien-y-te-i2628121021.html,https://img.lazcdn.com/g/p/f9a3ee12405a2fa58cc3225cc52b0038.jpg_400x400q75.jpg_.webp,8,8,20% Off,Hồ Chí Minh,lazada,bookandmusic,language_book,8,1
Tự Học Tiếng Hàn Cho Người Mới Bắt Đầu - Học Kèm App Online,60.760 ₫,https://www.lazada.vn/products/tu-hoc-tieng-han-cho-nguoi-moi-bat-dau-hoc-kem-app-online-i819528552.html,https://img.lazcdn.com/g/p/94965d0fe71f295db8a833bab3945bc4.jpg_400x400q75.jpg_.webp,9,9,38% Off,"1.6K Đã bán
(438)
Hồ Chí Minh",lazada,bookandmusic,language_book,9,1
Tiếng Anh 9 - Friends Plus (Kèm Code),79.000 ₫,https://www.lazada.vn/products/tieng-anh-9-friends-plus-kem-code-i2654610074.html,https://img.lazcdn.com/g/ff/kf/Sbef3deb5e5eb4c878b1fd5462964195bf.jpg_400x400q75.jpg_.webp,10,10,,"10 Đã bán
(2)
Hồ Chí Minh",lazada,bookandmusic,language_book,10,0
