title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Sáo Trúc La Trầm A4 HL59 chuẩn âm - Những Giai Điệu Truyền Thống Xưởng Sáo Hoàng Lâm,48.000 ₫,https://www.lazada.vn/products/sao-truc-la-tram-a4-hl59-chuan-am-nhung-giai-dieu-truyen-thong-xuong-sao-hoang-lam-i349212450.html,https://img.lazcdn.com/g/p/f033cd46c145669303d2f6f2867378a2.jpg_400x400q75.jpg_.webp,1,1,46% Off,"649 Đã bán
(164)
Hồ Chí Minh",lazada,bookandmusic,music,1,0
"Sáo Trúc C5 Dài từ 42 đến 55cm, Chuẩn Âm, Chuẩn Beat Trên Từng Phím Bấm (tặng dây treo đủ màu, giao ngẫu nhiên) Xưởng Sáo Hoàng Lâm",48.000 ₫,https://www.lazada.vn/products/sao-truc-c5-dai-tu-42-den-55cm-chuan-am-chuan-beat-tren-tung-phim-bam-tang-day-treo-du-mau-giao-ngau-nhien-xuong-sao-hoang-lam-i315788619.html,https://img.lazcdn.com/g/p/580c58ed5af2b5b1bb536c6d0e2d54c1.jpg_400x400q75.jpg_.webp,2,2,46% Off,"2.1K Đã bán
(684)
Hồ Chí Minh",lazada,bookandmusic,music,2,0
Sáo Trúc Giá Rẻ Tone Đô C5 bền và đẹp kèm Học sáo Cấp Tốc Chính Hãng SÁO TRÚC HAY - CẤP 1,55.000 ₫,https://www.lazada.vn/products/sao-truc-gia-re-tone-do-c5-ben-va-dep-kem-hoc-sao-cap-toc-chinh-hang-sao-truc-hay-cap-1-i1837431316.html,https://img.lazcdn.com/g/p/40eb30e82fe0f6e23047b3b2a68450ad.jpg_400x400q75.jpg_.webp,3,3,45% Off,"409 Đã bán
(91)
Hà Nội",lazada,bookandmusic,music,3,0
Sáo Dizi Trúc Tím Loại 1 - DZTT1200k,840.000 ₫,https://www.lazada.vn/products/sao-dizi-truc-tim-loai-1-dztt1200k-i547872393.html,https://img.lazcdn.com/g/p/02132207ccb6334884df87522e575e7f.jpg_400x400q75.jpg_.webp,4,4,30% Off,Hà Nội,lazada,bookandmusic,music,4,0
"Sáo dọc Recorder Soprano YAMAHA YRS-24B kèm túi đựng - Nốt thổi Baroque, tiêu chuẩn giáo dục quốc tế",147.273 ₫,https://www.lazada.vn/products/sao-doc-recorder-soprano-yamaha-yrs-24b-kem-tui-dung-not-thoi-baroque-tieu-chuan-giao-duc-quoc-te-i632074653.html,https://img.lazcdn.com/g/p/627b767c94b667755e2b08c09ce1ad96.png_400x400q75.png_.webp,5,5,,"985 Đã bán
(223)
Hồ Chí Minh",lazada,bookandmusic,music,5,1
Sáo trúc La trầm (A4) VS3 - Sáo trúc Bùi Gia - Dòng Cao Cấp - Cây sáo để chơi lâu dài - Tặng sách học sáo và túi nhung,400.000 ₫,https://www.lazada.vn/products/sao-truc-la-tram-a4-vs3-sao-truc-bui-gia-dong-cao-cap-cay-sao-de-choi-lau-dai-tang-sach-hoc-sao-va-tui-nhung-i190524797.html,https://img.lazcdn.com/g/p/9b2319ac78260f247d30fb6be1725e5b.jpg_400x400q75.jpg_.webp,6,6,43% Off,"5 Đã bán
(3)
Hà Nội",lazada,bookandmusic,music,6,0
"Sáo Dọc Sáng Tạo Sáo Dành Cho Học Sinh Tiểu Học Cao Âm Kiểu Đức, Sáo Dành Cho Người Lớn 6 Lỗ, Sáo Dành Cho Người Mới Học, Sáo Dành Cho Người Lớn",76.000 ₫,https://www.lazada.vn/products/sao-doc-sang-tao-sao-danh-cho-hoc-sinh-tieu-hoc-cao-am-kieu-duc-sao-danh-cho-nguoi-lon-6-lo-sao-danh-cho-nguoi-moi-hoc-sao-danh-cho-nguoi-lon-i2652981636.html,https://img.lazcdn.com/g/ff/kf/S25e1f6c872e84832837eb2813e57e49du.jpg_400x400q75.jpg_.webp,7,7,28% Off,Nước ngoài,lazada,bookandmusic,music,7,0
Sáo Trúc Giá Rẻ Tone La trầm A4 bền và đẹp kèm Học sáo Cấp Tốc Chính Hãng SÁO TRÚC HAY - CẤP 1,55.000 ₫,https://www.lazada.vn/products/sao-truc-gia-re-tone-la-tram-a4-ben-va-dep-kem-hoc-sao-cap-toc-chinh-hang-sao-truc-hay-cap-1-i1837409676.html,https://img.lazcdn.com/g/p/d711325abef58e9c69fb1d5b510fde14.jpg_400x400q75.jpg_.webp,8,8,45% Off,"77 Đã bán
(23)
Hà Nội",lazada,bookandmusic,music,8,0
Sáo Gỗ Mun Khớp Nối Inox,800.000 ₫,https://www.lazada.vn/products/sao-go-mun-khop-noi-inox-i547858366.html,https://img.lazcdn.com/g/p/30f1b3bdd4620a6d11a958db89ccec6a.jpg_400x400q75.jpg_.webp,9,9,33% Off,Hà Nội,lazada,bookandmusic,music,9,0
Sáo Gỗ Khớp Nối HD - SGKNHD1000k,800.000 ₫,https://www.lazada.vn/products/sao-go-khop-noi-hd-sgknhd1000k-i547886680.html,https://img.lazcdn.com/g/p/cd0563e1d9c551cbac90f1b2a6d1b69c.jpg_400x400q75.jpg_.webp,10,10,20% Off,Hà Nội,lazada,bookandmusic,music,10,0
Sáo bầu thật thân trúc tím - SBTRT500k,400.000 ₫,https://www.lazada.vn/products/sao-bau-that-than-truc-tim-sbtrt500k-i451440196.html,https://img.lazcdn.com/g/p/310a03ba7855f0c30ce02d58d1b8c468.jpg_400x400q75.jpg_.webp,11,11,20% Off,"17 Đã bán
(2)
Hà Nội",lazada,bookandmusic,music,11,0
