title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
KAIMEIDI Máy sưởi tay kho báu sạc mini sạc kho báu máy sưởi tay di động hai trong một USB Bộ điều chỉnh nhiệt ba tốc độ làm nóng nhanh máy sưởi tay phi hành gia,95.000 ₫,https://www.lazada.vn/products/kaimeidi-may-suoi-tay-kho-bau-sac-mini-sac-kho-bau-may-suoi-tay-di-dong-hai-trong-mot-usb-bo-dieu-chinh-nhiet-ba-toc-do-lam-nong-nhanh-may-suoi-tay-phi-hanh-gia-i1980206228.html,https://img.lazcdn.com/g/p/8b567290f978beb7b319d2118c953d59.jpg_400x400q75.jpg_.webp,1,1,52% Off,"432 Đã bán
(270)
Nước ngoài",lazada,electrichouseware,smallhouseware,1,1
"Máy Hút Bụi Mini Cầm Tay Không Dây YT-M2037 Lực Hút 6000MPA Nhỏ Gọn, Pin Sạc Tiện Lợi, Lực Hút Siêu Mạnh, Công Suất 60w",49.100 ₫,https://www.lazada.vn/products/may-hut-bui-mini-cam-tay-khong-day-yt-m2037-luc-hut-6000mpa-nho-gon-pin-sac-tien-loi-luc-hut-sieu-manh-cong-suat-60w-i2358153336.html,https://img.lazcdn.com/g/p/bd2dd800e2715b0fccded9cdda0d6bb5.jpg_400x400q75.jpg_.webp,2,2,"50% Off
LazFlash Sale,kết thúc sau 1 ngày","725 Đã bán
(255)
Hà Nội",lazada,electrichouseware,smallhouseware,2,0
"Bàn ủi hơi nước đứng công suất lớn 1800W, bàn là hơi nước cầm tay đa năng tiện dụng. Bảo hành 2 năm trên toàn quốc, đổi mới trong 7 ngày đầu nếu có lỗi của nhà sản xuất.",777.000 ₫,https://www.lazada.vn/products/ban-ui-hoi-nuoc-dung-cong-suat-lon-1800w-ban-la-hoi-nuoc-cam-tay-da-nang-tien-dung-bao-hanh-2-nam-tren-toan-quoc-doi-moi-trong-7-ngay-dau-neu-co-loi-cua-nha-san-xuat-i1989805669.html,https://img.lazcdn.com/g/p/04648621a3b40c2edf5aafd849bd0ecf.jpg_400x400q75.jpg_.webp,3,3,51% Off,"652 Đã bán
(146)
Nam Định",lazada,electrichouseware,smallhouseware,3,0
TAY CẦM BÀN ỦI BÌNH TREO ES94,95.000 ₫,https://www.lazada.vn/products/tay-cam-ban-ui-binh-treo-es94-i320662959.html,https://img.lazcdn.com/g/p/65cf58f74ceb66e9a3d394f7a3e0cd5e.jpg_400x400q75.jpg_.webp,4,4,5% Off,"111 Đã bán
(36)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,4,0
"[Mới về đủ mẫu] Túi sưởi, túi chườm nóng đau bụng gấu bear cắm điện Chuby Shop",78.000 ₫,https://www.lazada.vn/products/moi-ve-du-mau-tui-suoi-tui-chuom-nong-dau-bung-gau-bear-cam-dien-chuby-shop-i1593420560.html,https://img.lazcdn.com/g/p/6edd27cbd0a7e774889d281b0fb6a9b3.jpg_400x400q75.jpg_.webp,5,5,,"653 Đã bán
(92)
Hà Nội",lazada,electrichouseware,smallhouseware,5,0
Ổ chao máy may gia đình đa năng loại mới,175.000 ₫,https://www.lazada.vn/products/o-chao-may-may-gia-dinh-da-nang-loai-moi-i2294543400.html,https://img.lazcdn.com/g/p/91d2a0e6ec07806d10038be793f025c6.jpg_400x400q75.jpg_.webp,6,6,,"(1)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,6,0
"CHĂN CHIÊN chống cháy , lót bàn ủi - Hàng chuẩn công ty dệt may",155.000 ₫,https://www.lazada.vn/products/chan-chien-chong-chay-lot-ban-ui-hang-chuan-cong-ty-det-may-i2598606814.html,https://img.lazcdn.com/g/p/7642d9722a1ccb1d92206ae816f60147.jpg_400x400q75.jpg_.webp,7,7,,Nam Định,lazada,electrichouseware,smallhouseware,7,0
"Máy hút bụi công nghiệp công suất lớn 1200W với dung tích 18L tích hợp 3 chế độ hút khô, hút ướt và thổi bụi mạnh mẽ. Bảo hành 3 năm trên toàn quốc, lỗi đổi mới 7 ngày đầu nhận sản phẩm.",1.480.000 ₫,https://www.lazada.vn/products/may-hut-bui-cong-nghiep-cong-suat-lon-1200w-voi-dung-tich-18l-tich-hop-3-che-do-hut-kho-hut-uot-va-thoi-bui-manh-me-bao-hanh-3-nam-tren-toan-quoc-loi-doi-moi-7-ngay-dau-nhan-san-pham-i2018094609.html,https://img.lazcdn.com/g/p/fe4520e2bc56b1e11b18ec6e27767651.jpg_400x400q75.jpg_.webp,8,8,52% Off,"677 Đã bán
(171)
Nam Định",lazada,electrichouseware,smallhouseware,8,0
Lõi lọc số 3 Kangaroo – 1 MICRON hàng chính hãng,30.581 ₫,https://www.lazada.vn/products/loi-loc-so-3-kangaroo-1-micron-hang-chinh-hang-i2165028746.html,https://img.lazcdn.com/g/ff/kf/S418a1dfabf3a413387d25a5304b8362ed.png_400x400q75.png_.webp,9,9,22% Off,"20 Đã bán
(4)
Hà Nội",lazada,electrichouseware,smallhouseware,9,1
"ROBOT HUT BUI CAO CAP, MÁY HÚT BỤI LAU NHÀ THÔNG MINH, ROBOT HÚT BỤI TỰ ĐỘNG THÔNG MINH ES06 ĐIỀU KHIỂN TRÊN APP ĐIỆN THOẠI IOS. Di Chuyển Làm Sạch Thông Minh, Vận hành êm ái, Độ Ồn Thấp",376.000 ₫,https://www.lazada.vn/products/robot-hut-bui-cao-cap-may-hut-bui-lau-nha-thong-minh-robot-hut-bui-tu-dong-thong-minh-es06-dieu-khien-tren-app-dien-thoai-ios-di-chuyen-lam-sach-thong-minh-van-hanh-em-ai-do-on-thap-i2353706012.html,https://img.lazcdn.com/g/p/6c78390e8aef1b0de7a566340b572d9c.png_400x400q75.png_.webp,10,10,46% Off,Hồ Chí Minh,lazada,electrichouseware,smallhouseware,10,0
Bình nước nóng Rossi rubis 30l vuông siêu bên chống giật,1.750.000 ₫,https://www.lazada.vn/products/binh-nuoc-nong-rossi-rubis-30l-vuong-sieu-ben-chong-giat-i1846740150.html,https://img.lazcdn.com/g/ff/kf/Se87db5c0dacb40c299f5e68eac794f061.jpg_400x400q75.jpg_.webp,11,11,,"(1)
Hà Nội",lazada,electrichouseware,smallhouseware,11,0
Bàn Là Hơi Nước Cầm Tay HDA HDA-888 Công Suất 1500W - Bàn Ủi Hơi Nước Cầm Tay Mini Mẫu Mới,150.000 ₫,https://www.lazada.vn/products/ban-la-hoi-nuoc-cam-tay-hda-hda-888-cong-suat-1500w-ban-ui-hoi-nuoc-cam-tay-mini-mau-moi-i1965152745.html,https://img.lazcdn.com/g/p/5b0c1c64929d5ca8724b83409ab8845c.jpg_400x400q75.jpg_.webp,12,12,25% Off,"6 Đã bán
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,12,0
", Máy Nước Nóng Công Suất Cao, Nồi Hơi Điện Tử Ngâm Cho Du Lịch",42.600 ₫,https://www.lazada.vn/products/may-nuoc-nong-cong-suat-cao-noi-hoi-dien-tu-ngam-cho-du-lich-i427088474.html,https://img.lazcdn.com/g/p/f3ba5dd276f3fdcf7530ea6df4c10968.jpg_400x400q75.jpg_.webp,13,13,56% Off,"232 Đã bán
(66)
Nước ngoài",lazada,electrichouseware,smallhouseware,13,1
Jiashi mini Màn hình hiển thị kỹ thuật số Làm Ấm Tay sạc USB môi trường văn phòng thể thao ngoài trời Ba tốc độ điều chỉnh,161.000 ₫,https://www.lazada.vn/products/jiashi-mini-man-hinh-hien-thi-ky-thuat-so-lam-am-tay-sac-usb-moi-truong-van-phong-the-thao-ngoai-troi-ba-toc-do-dieu-chinh-i2510293359.html,https://img.lazcdn.com/g/p/3f3dcbd1d77b79b562d757c5aa32ecb2.jpg_400x400q75.jpg_.webp,14,14,39% Off,"11 Đã bán
(2)
Nước ngoài",lazada,electrichouseware,smallhouseware,14,1
"Bàn là hơi nước , bàn là kiểu đứng công suất lớn 1800W là phẳng trong 30 giây, tiết kiệm điện năng, bàn ủi trang bị cảm biến nhiệt thông minh và chíp an toàn khi sử dụng. Bảo hành 2 năm, lỗi đổi mới 7 ngày đầu nhận sản phẩm",790.000 ₫,https://www.lazada.vn/products/ban-la-hoi-nuoc-ban-la-kieu-dung-cong-suat-lon-1800w-la-phang-trong-30-giay-tiet-kiem-dien-nang-ban-ui-trang-bi-cam-bien-nhiet-thong-minh-va-chip-an-toan-khi-su-dung-bao-hanh-2-nam-loi-doi-moi-7-ngay-dau-nhan-san-pham-i2004351017.html,https://img.lazcdn.com/g/p/6e6b9c95b8620df2543213bbcdd8253e.jpg_400x400q75.jpg_.webp,15,15,53% Off,"870 Đã bán
(218)
Nam Định",lazada,electrichouseware,smallhouseware,15,0
Túi chườm nóng lạnh lông mịn Hoạt Hình dễ thương Giảm đau bụng kinh Hạ sốt Phục hồi vết thương,19.553 ₫,https://www.lazada.vn/products/tui-chuom-nong-lanh-long-min-hoat-hinh-de-thuong-giam-dau-bung-kinh-ha-sot-phuc-hoi-vet-thuong-i1806083450.html,https://img.lazcdn.com/g/p/462ee07676720ec6c548e8d23498bec1.jpg_400x400q75.jpg_.webp,16,16,25% Off,"3.6K Đã bán
(584)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,16,0
Romoss Máy may điện gia dụng Máy may đa năng 12 mũi khâu hệ thống ren kép Máy may overlock để bàn,398.999 ₫,https://www.lazada.vn/products/romoss-may-may-dien-gia-dung-may-may-da-nang-12-mui-khau-he-thong-ren-kep-may-may-overlock-de-ban-i2585980039.html,https://img.lazcdn.com/g/p/5d83c4a1265780e6cf16ee04e428ace5.jpg_400x400q75.jpg_.webp,17,17,34% Off,"89 Đã bán
(32)
Nước ngoài",lazada,electrichouseware,smallhouseware,17,1
Dầu máy khâu - máy may ( chai 1 Lít + 2 lít ),44.691 ₫,https://www.lazada.vn/products/dau-may-khau-may-may-chai-1-lit-2-lit-i597492519.html,https://img.lazcdn.com/g/p/678e8e01f7ed626e4db95cc6eb0c563f.jpg_400x400q75.jpg_.webp,18,18,16% Off,"1.1K Đã bán
(327)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,18,0
Máy Hút Bụi Cầm Tay Không Dây Damas D-113C - Công Suất 120W/12000Pa - Dung Lượng Pin 4000mAh - Dễ Dàng Thao Tác - Damas Official Store,408.000 ₫,https://www.lazada.vn/products/may-hut-bui-cam-tay-khong-day-damas-d-113c-cong-suat-120w12000pa-dung-luong-pin-4000mah-de-dang-thao-tac-damas-official-store-i2198642661.html,https://img.lazcdn.com/g/p/7c554970d7459c2eee5e4e074faf050a.jpg_400x400q75.jpg_.webp,19,19,49% Off,"21 Đã bán
(7)
Hà Nội",lazada,electrichouseware,smallhouseware,19,0
"Máy hút bui gia đình dung tích lớn vỏ thép không rỉ, máy hút bụi công nghiệp phiên bản cao cấp có bánh xe, giảm tiếng ồn, máy hút bụi đa năng công suất lớn mang bụi bẩn biến mất khỏi căn nhà của bạn.",1.550.000 ₫,https://www.lazada.vn/products/may-hut-bui-gia-dinh-dung-tich-lon-vo-thep-khong-ri-may-hut-bui-cong-nghiep-phien-ban-cao-cap-co-banh-xe-giam-tieng-on-may-hut-bui-da-nang-cong-suat-lon-mang-bui-ban-bien-mat-khoi-can-nha-cua-ban-i2036614251.html,https://img.lazcdn.com/g/p/61847c037f361a2833bce839abaa3c06.jpg_400x400q75.jpg_.webp,20,20,50% Off,"532 Đã bán
(136)
Nam Định",lazada,electrichouseware,smallhouseware,20,0
"Máy nước nóng trực tiếp Ferroli 4500W MIDO-MSP 4.5S (Có bơm, 4500W, bảo hành chính hãng)",2.078.000 ₫,https://www.lazada.vn/products/may-nuoc-nong-truc-tiep-ferroli-4500w-mido-msp-45s-co-bom-4500w-bao-hanh-chinh-hang-i2440860338.html,https://img.lazcdn.com/g/p/c8408ef84ee953291feb9e185d9dbb0e.jpg_400x400q75.jpg_.webp,21,21,40% Off,Hồ Chí Minh,lazada,electrichouseware,smallhouseware,21,0
"Bàn là hơi nước đứng công suất lớn 1800W, bàn ủi hơi nước cầm tay đa năng và tiện dụng. Bảo hành 2 năm trên toàn quốc, đổi mới trong 7 ngày đầu nếu có lỗi của nhà sản xuất.",835.000 ₫,https://www.lazada.vn/products/ban-la-hoi-nuoc-dung-cong-suat-lon-1800w-ban-ui-hoi-nuoc-cam-tay-da-nang-va-tien-dung-bao-hanh-2-nam-tren-toan-quoc-doi-moi-trong-7-ngay-dau-neu-co-loi-cua-nha-san-xuat-i1989724757.html,https://img.lazcdn.com/g/p/fa0fba2ba43843c2c312d05a1065dce5.jpg_400x400q75.jpg_.webp,22,22,47% Off,"826 Đã bán
(205)
Nam Định",lazada,electrichouseware,smallhouseware,22,0
"Máy hút bụi công nghiệp hút bụi gia đình hút khô hút nước thổi sấy đa năng công suất 1200W dung tính 18L màng lọc Hepa siêu lọc bụi tặng kèm 9 đầu hút. Bảo hành 2 năm, 1 đổi 1 trong 7 ngày nếu có lỗi.",1.014.000 ₫,https://www.lazada.vn/products/may-hut-bui-cong-nghiep-hut-bui-gia-dinh-hut-kho-hut-nuoc-thoi-say-da-nang-cong-suat-1200w-dung-tinh-18l-mang-loc-hepa-sieu-loc-bui-tang-kem-9-dau-hut-bao-hanh-2-nam-1-doi-1-trong-7-ngay-neu-co-loi-i2288494171.html,https://img.lazcdn.com/g/p/595bb42e96f3440cde0aa8125a2ae9dd.jpg_400x400q75.jpg_.webp,23,23,53% Off,"435 Đã bán
(86)
Thái Bình",lazada,electrichouseware,smallhouseware,23,0
Thuyền vàng có yếm sử dụng cho máy may 1 kim công nghiệp,27.932 ₫,https://www.lazada.vn/products/thuyen-vang-co-yem-su-dung-cho-may-may-1-kim-cong-nghiep-i2103896191.html,https://img.lazcdn.com/g/p/eb74cb802a91fc84e4c21bc5918b2e7e.jpg_400x400q75.jpg_.webp,24,24,20% Off,"197 Đã bán
(41)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,24,0
"Bàn là hơi nước kiểu đứng , bàn ủi cây 1700W là phù hợp với mọi loại vải, bàn là RAF - hàng chính hãng. Bảo hành 2 năm toàn quốc, đổi mới trong 7 ngày đầu nhận hàng nếu có bất kỳ sai sót nào đến từ nhà cung cấp.",814.000 ₫,https://www.lazada.vn/products/ban-la-hoi-nuoc-kieu-dung-ban-ui-cay-1700w-la-phu-hop-voi-moi-loai-vai-ban-la-raf-hang-chinh-hang-bao-hanh-2-nam-toan-quoc-doi-moi-trong-7-ngay-dau-nhan-hang-neu-co-bat-ky-sai-sot-nao-den-tu-nha-cung-cap-i2377896558.html,https://img.lazcdn.com/g/p/025e64f4a4c7a6d396e783db238e0ad6.jpg_400x400q75.jpg_.webp,25,25,53% Off,"34 Đã bán
(9)
Nam Định",lazada,electrichouseware,smallhouseware,25,0
Máy hút bụi khô & ướt Dreame H12 Dual - Bản quốc tế - Bảo hành 24 tháng,13.870.000 ₫,https://www.lazada.vn/products/may-hut-bui-kho-uot-dreame-h12-dual-ban-quoc-te-bao-hanh-24-thang-i2358059909.html,https://img.lazcdn.com/g/p/1636352e036a30cc3d9b2bf8e37fbbe6.jpg_400x400q75.jpg_.webp,26,26,"37% Off
LazFlash Sale,kết thúc sau 1 ngày","31 Đã bán
(4)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,26,1
"Đèn sưởi phòng tắm Sunhouse SHD3812 - Chống nước IPX4 -Công tắc độc lập dễ dàng điều chỉnh nhiệt độ, tiết kiệm điện năng -Công nghệ sưởi Halogen",628.000 ₫,https://www.lazada.vn/products/den-suoi-phong-tam-sunhouse-shd3812-chong-nuoc-ipx4-cong-tac-doc-lap-de-dang-dieu-chinh-nhiet-do-tiet-kiem-dien-nang-cong-nghe-suoi-halogen-i2058321327.html,https://img.lazcdn.com/g/p/ab6f245ef40f097b8add026ce8861ecd.png_400x400q75.png_.webp,27,27,37% Off,"34 Đã bán
(10)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,27,1
Lốc 12 chai nước suối Number One chai 500ml,27.001 ₫,https://www.lazada.vn/products/loc-12-chai-nuoc-suoi-number-one-chai-500ml-i2600730791.html,https://img.lazcdn.com/g/p/66d0828548bddfa5fe27f8a69a2f83b2.jpg_400x400q75.jpg_.webp,28,28,33% Off,"67 Đã bán
(10)
Hồ Chí Minh",lazada,electrichouseware,smallhouseware,28,0
Túi đựng máy may Brother - thiết kế cứng cáp - đựng được các loại máy may,250.000 ₫,https://www.lazada.vn/products/tui-dung-may-may-brother-thiet-ke-cung-cap-dung-duoc-cac-loai-may-may-i1798846385.html,https://img.lazcdn.com/g/p/341f4948f3e63a6974e24914a3e2812a.jpg_400x400q75.jpg_.webp,29,29,,Hà Nội,lazada,electrichouseware,smallhouseware,29,0
