title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Máy chiếu mini Eroc MAGIC PRO máy chiếu xem phim Giải mã Full HD 2800 Lumens Android IOS Tương thích Netflix - Bảo hành 1năm,1.999.000 ₫,https://www.lazada.vn/products/may-chieu-mini-eroc-magic-pro-may-chieu-xem-phim-giai-ma-full-hd-2800-lumens-android-ios-tuong-thich-netflix-bao-hanh-1nam-i2466974749.html,https://img.lazcdn.com/g/p/c74a1b9fc53323dafbfd7cf2afccf039.jpg_400x400q75.jpg_.webp,1,1,"57% Off
LazFlash Sale,kết thúc sau 7h","185 Đã bán
(35)
Hồ Chí Minh",lazada,electrichouseware,tivi,1,1
Máy chiếu mini độ phân giải Full HD tích hợp hệ điều hành android 11.0 sử dụng cho cả gia đình thiết kế nhỏ gọn dễ di chuyển máy chiếu HY320,2.100.000 ₫,https://www.lazada.vn/products/may-chieu-mini-do-phan-giai-full-hd-tich-hop-he-dieu-hanh-android-110-su-dung-cho-ca-gia-dinh-thiet-ke-nho-gon-de-di-chuyen-may-chieu-hy320-i2590237623.html,https://img.lazcdn.com/g/p/b33699b69318b5d36045d398cac4d239.jpg_400x400q75.jpg_.webp,2,2,"43% Off
LazFlash Sale,kết thúc sau 1 ngày","73 Đã bán
(25)
Hồ Chí Minh",lazada,electrichouseware,tivi,2,1
đầu thu truyền hình số mặt đất dvb t2 ltp 1306,280.000 ₫,https://www.lazada.vn/products/dau-thu-truyen-hinh-so-mat-dat-dvb-t2-ltp-1306-i341056876.html,https://img.lazcdn.com/g/p/6f17a087f8d4a5eb54cbd2742616139a.jpg_400x400q75.jpg_.webp,3,3,,"6 Đã bán
(1)
Hà Nội",lazada,electrichouseware,tivi,3,0
"Máy chiếu mini thông minh EROC MAX full HD máy chiếu xem phim lên tường phù hợp xem Phim xem bóng đá Tivi cực nét, Bảo hành chính hãng 12 tháng",5.099.000 ₫,https://www.lazada.vn/products/may-chieu-mini-thong-minh-eroc-max-full-hd-may-chieu-xem-phim-len-tuong-phu-hop-xem-phim-xem-bong-da-tivi-cuc-net-bao-hanh-chinh-hang-12-thang-i2347192016.html,https://img.lazcdn.com/g/p/9b02a57b2eeef5c5f748c0fb5b76fe4c.jpg_400x400q75.jpg_.webp,4,4,43% Off,"117 Đã bán
(26)
Hồ Chí Minh",lazada,electrichouseware,tivi,4,1
Máy chiếu mini độ phân giải Full HD âm thanh chân thực android 11.0 dùng xem phim giải trí gia đình bảo hành 12 tháng HY300pro máy chiếu,1.425.753 ₫,https://www.lazada.vn/products/may-chieu-mini-do-phan-giai-full-hd-am-thanh-chan-thuc-android-110-dung-xem-phim-giai-tri-gia-dinh-bao-hanh-12-thang-hy300pro-may-chieu-i1532092245.html,https://img.lazcdn.com/g/p/f8f343cd4c93a72815e0bb213b6ddf52.jpg_400x400q75.jpg_.webp,5,5,"52% Off
LazFlash Sale,kết thúc sau 1 ngày","1.1K Đã bán
(373)
Hồ Chí Minh",lazada,electrichouseware,tivi,5,1
Máy chiếu mini độ sáng cao 400 ansi lumens tích hợp android 11 Ram 2G Rom 32G nâng cấp wifi 6 sử dụng mượt phù hợp giải trí gia đình máy chiếu HY350,2.662.000 ₫,https://www.lazada.vn/products/may-chieu-mini-do-sang-cao-400-ansi-lumens-tich-hop-android-11-ram-2g-rom-32g-nang-cap-wifi-6-su-dung-muot-phu-hop-giai-tri-gia-dinh-may-chieu-hy350-i2606484994.html,https://img.lazcdn.com/g/p/2bc3cc44e558821d5a730152c2afd79f.jpg_400x400q75.jpg_.webp,6,6,41% Off,"8 Đã bán
(2)
Hồ Chí Minh",lazada,electrichouseware,tivi,6,1
Giá Đỡ – Arm Màn Hình EDRA EMA7302 cho màn hình máy tính từ 13 - 34 inch - Hàng chính hãng,599.000 ₫,https://www.lazada.vn/products/gia-do-arm-man-hinh-edra-ema7302-cho-man-hinh-may-tinh-tu-13-34-inch-hang-chinh-hang-i2625948781.html,https://img.lazcdn.com/g/p/657f7b2ffab602285d50463dba5e5670.png_400x400q75.png_.webp,7,7,14% Off,Hà Nội,lazada,electrichouseware,tivi,7,0
[FreeSHIP COD + Lắp Hà Nội] Smart Tivi QNED LG 4K 55 inch 55QNED75SRA | Quantum Dot NanoCell | Bộ xử lý AI α5 4K Gen6 | Dimming Pro,14.490.000 ₫,https://www.lazada.vn/products/freeship-cod-lap-ha-noi-smart-tivi-qned-lg-4k-55-inch-55qned75sra-quantum-dot-nanocell-bo-xu-ly-ai-5-4k-gen6-dimming-pro-i2564099368.html,https://img.lazcdn.com/g/p/a92f26f127618b1f420299f45fd208f5.jpg_400x400q75.jpg_.webp,8,8,17% Off,Hà Nội,lazada,electrichouseware,tivi,8,1
[HCM] Smart Tivi Samsung 4K 85 Inch UA85BU8000,28.750.000 ₫,https://www.lazada.vn/products/hcm-smart-tivi-samsung-4k-85-inch-ua85bu8000-i2299745983.html,https://img.lazcdn.com/g/p/46df063cff11f9e64068a19c30d83fdb.jpg_400x400q75.jpg_.webp,9,9,26% Off,Hồ Chí Minh,lazada,electrichouseware,tivi,9,1
[FreeSHIP COD + Lắp Hà Nội] Smart Tivi QNED LG 4K 50 inch 50QNED80SRA Công nghệ Quantum Dot Bộ vi xử lý α7 AI 4K Gen6 Hàng chính hãng,14.390.000 ₫,https://www.lazada.vn/products/freeship-cod-lap-ha-noi-smart-tivi-qned-lg-4k-50-inch-50qned80sra-cong-nghe-quantum-dot-bo-vi-xu-ly-7-ai-4k-gen6-hang-chinh-hang-i2527540601.html,https://img.lazcdn.com/g/p/1c0064dc55e56a92b7742a8735e4ca25.jpg_400x400q75.jpg_.webp,10,10,17% Off,Hà Nội,lazada,electrichouseware,tivi,10,1
"[ 6.6 HOTDEAL 7290K - Tặng Giá Treo TV DP243 cho 80 đơn đầu tiên mua dòng 55T66 ] Google TV TCL 55 inch 4K HDR Dolby Audio - 55T66 - TV - Bảo Hành 2 Năm, Trả góp 0%",8.090.000 ₫,https://www.lazada.vn/products/66-hotdeal-7290k-tang-gia-treo-tv-dp243-cho-80-don-dau-tien-mua-dong-55t66-google-tv-tcl-55-inch-4k-hdr-dolby-audio-55t66-tv-bao-hanh-2-nam-tra-gop-0-i1933199122.html,https://img.lazcdn.com/g/p/d0082da7b3d402188f43004ef1b6c37c.jpg_400x400q75.jpg_.webp,11,11,"42% Off
LazFlash Sale,kết thúc sau 1 ngày","1.7K Đã bán
(682)
Hồ Chí Minh",lazada,electrichouseware,tivi,11,1
Máy Chiếu Mini Wanbo T4 Tự Động Lấy Nét Full HD - Bảo hành chính hãng 12 tháng,3.790.000 ₫,https://www.lazada.vn/products/may-chieu-mini-wanbo-t4-tu-dong-lay-net-full-hd-bao-hanh-chinh-hang-12-thang-i2051150629.html,https://img.lazcdn.com/g/p/ef87c7ae0655b6eb40779dc8e4578d39.jpg_400x400q75.jpg_.webp,12,12,37% Off,Hồ Chí Minh,lazada,electrichouseware,tivi,12,0
Smart Tivi Samsung 4K The Serif 65 Inch QA65LS01B,19.600.000 ₫,https://www.lazada.vn/products/smart-tivi-samsung-4k-the-serif-65-inch-qa65ls01b-i2297421272.html,https://img.lazcdn.com/g/p/adac5c6753b36034152881d153080671.jpg_400x400q75.jpg_.webp,13,13,42% Off,Hồ Chí Minh,lazada,electrichouseware,tivi,13,1
[Hàng tặng không bán] Giá treo TiVi thẳng Daikiosan DP243,1.000.000 ₫,https://www.lazada.vn/products/hang-tang-khong-ban-gia-treo-tivi-thang-daikiosan-dp243-i2583550016.html,https://img.lazcdn.com/g/p/a0b049b3590912f7ffcfd553c5a063be.jpg_400x400q75.jpg_.webp,14,14,,"22 Đã bán
(10)
Hồ Chí Minh",lazada,electrichouseware,tivi,14,1
"Anten DVB-T2 chính hãng AVG, Ăng ten kỹ thuật số an viên, bảo hành 12 tháng",18.000 ₫,https://www.lazada.vn/products/anten-dvb-t2-chinh-hang-avg-ang-ten-ky-thuat-so-an-vien-bao-hanh-12-thang-i2314578777.html,https://img.lazcdn.com/g/p/b0d9260d7657cf830a567c93291f7fa4.png_400x400q75.png_.webp,15,15,50% Off,"44 Đã bán
(4)
Hồ Chí Minh",lazada,electrichouseware,tivi,15,0
[FreeSHIP COD + Lắp Hà Nội] Smart Tivi QNED LG 4K 65 inch 65QNED75SRA | Quantum Dot NanoCell | Bộ xử lý AI α5 4K Gen6 | Dimming Pro,16.890.000 ₫,https://www.lazada.vn/products/freeship-cod-lap-ha-noi-smart-tivi-qned-lg-4k-65-inch-65qned75sra-quantum-dot-nanocell-bo-xu-ly-ai-5-4k-gen6-dimming-pro-i2564096433.html,https://img.lazcdn.com/g/p/ac93bb9dca80d8241c21d1fe56bf3f47.jpg_400x400q75.jpg_.webp,16,16,17% Off,Hà Nội,lazada,electrichouseware,tivi,16,1
[Hàng tặng không bán] Giá treo TiVi thẳng Daikiosan DP265,1.000.000 ₫,https://www.lazada.vn/products/hang-tang-khong-ban-gia-treo-tivi-thang-daikiosan-dp265-i2583541450.html,https://img.lazcdn.com/g/p/45bd36f43e0c34ce98baad91857420a3.jpg_400x400q75.jpg_.webp,17,17,,"(1)
Hồ Chí Minh",lazada,electrichouseware,tivi,17,1
Máy Chiếu Mini K650 Plus Chính Hãng KAW Độ Sáng Cao Chất Lượng 1080P Thiết Kế Sang Trọng Bảo Hàng 12 Tháng,1.949.000 ₫,https://www.lazada.vn/products/may-chieu-mini-k650-plus-chinh-hang-kaw-do-sang-cao-chat-luong-1080p-thiet-ke-sang-trong-bao-hang-12-thang-i2593856515.html,https://img.lazcdn.com/g/p/3f984e87d78b0974eded8a96baec56cf.jpg_400x400q75.jpg_.webp,18,18,,Hồ Chí Minh,lazada,electrichouseware,tivi,18,1
Kệ để trên tivi máy tính giá gác đựng đồ treo sau màn hình đa năng thông minh trang trí nhựa đẹp - Thingkids,43.753 ₫,https://www.lazada.vn/products/ke-de-tren-tivi-may-tinh-gia-gac-dung-do-treo-sau-man-hinh-da-nang-thong-minh-trang-tri-nhua-dep-thingkids-i2543528136.html,https://img.lazcdn.com/g/p/8191f1acfe5c9f0c4a6a0c6cba3fe76c.jpg_400x400q75.jpg_.webp,19,19,52% Off,"21 Đã bán
(8)
Hà Nội",lazada,electrichouseware,tivi,19,1
Android tivi box Magicsee N5 pro 2023 Android 11 - Ram 4GB - Rom 32GB - Chip S905W2,890.000 ₫,https://www.lazada.vn/products/android-tivi-box-magicsee-n5-pro-2023-android-11-ram-4gb-rom-32gb-chipw2-i2418033947.html,https://img.lazcdn.com/g/p/801f7b42c350677f4fcb50d792721f97.jpg_400x400q75.jpg_.webp,20,20,26% Off,"5 Đã bán
Hồ Chí Minh",lazada,electrichouseware,tivi,20,1
