title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
ĐƯỜNG ĂN KIÊNG ASPAMIC HỘP 100 GÓI,50.352 ₫,https://www.lazada.vn/products/duong-an-kieng-aspamic-hop-100-goi-i2010054546.html,https://img.lazcdn.com/g/ff/kf/S7b13d0750d28445b91b96737e45c8c00I.jpg_400x400q75.jpg_.webp,1,1,43% Off,"471 Đã bán
(112)
Hồ Chí Minh",lazada,health,functionalfoods,1,0
"Gai Cốt Hoàn Hongkong Viên có chữ đỏ và tặng kèm cao dán Chai 60 viên Giảm đau nhức xương khớp, thoái hóa xương khớp, thần kinh tọa, tăng tiết nhờn ở khớp, ngừa loãng xương",69.990 ₫,https://www.lazada.vn/products/gai-cot-hoan-hongkong-vien-co-chu-do-va-tang-kem-cao-dan-chai-60-vien-giam-dau-nhuc-xuong-khop-thoai-hoa-xuong-khop-than-kinh-toa-tang-tiet-nhon-o-khop-ngua-loang-xuong-i2350353593.html,https://img.lazcdn.com/g/p/8ab0772b9f518d7469c66f4388fbb942.jpg_400x400q75.jpg_.webp,2,2,,"127 Đã bán
(9)
Hậu Giang",lazada,health,functionalfoods,2,0
Viên uống CALCIUM NANO LIQUID bổ sung canxi vitamin và các khoáng chất cần thiết – Hộp 100 viên,48.000 ₫,https://www.lazada.vn/products/vien-uong-calcium-nano-liquid-bo-sung-canxi-vitamin-va-cac-khoang-chat-can-thiet-hop-100-vien-i1648415211.html,https://img.lazcdn.com/g/p/5504a6a5d458b5165cd1cb28362a5f42.jpg_400x400q75.jpg_.webp,3,3,52% Off,"1.7K Đã bán
(355)
Hồ Chí Minh",lazada,health,functionalfoods,3,0
"New Zealand Milk Group Dianbet Hộp 400g (10 gói *40g) Sữa Cho Người Tiểu Đường, Nguy Cơ Mắc Bệnh Tiểu Đường",182.000 ₫,https://www.lazada.vn/products/new-zealand-milk-group-dianbet-hop-400g-10-goi-40g-sua-cho-nguoi-tieu-duong-nguy-co-mac-benh-tieu-duong-i2523183318.html,https://img.lazcdn.com/g/p/27ddbdbe6c358fec4b201bcc19def197.jpg_400x400q75.jpg_.webp,4,4,30% Off,"5 Đã bán
(2)
Hồ Chí Minh",lazada,health,functionalfoods,4,0
"Viên uống sắt tổng hợp cho bà bầu Mama IQ Gold bổ sung Acid folic , DHA bồi bổ sức khỏe nguyên liệu nhập khẩu",45.000 ₫,https://www.lazada.vn/products/vien-uong-sat-tong-hop-cho-ba-bau-mama-iq-gold-bo-sung-acid-folic-dha-boi-bo-suc-khoe-nguyen-lieu-nhap-khau-i2227461983.html,https://img.lazcdn.com/g/ff/kf/S1a46dc869aa14a7ca8523fb69eac63adq.jpg_400x400q75.jpg_.webp,5,5,36% Off,"100 Đã bán
(3)
Hà Nội",lazada,health,functionalfoods,5,0
Vitamin Zeambi - Vitamin tổng hợp cho bé hỗ trợ tăng sức đề kháng bé ăn ngon miệng,415.000 ₫,https://www.lazada.vn/products/vitamin-zeambi-vitamin-tong-hop-cho-be-ho-tro-tang-suc-de-khang-be-an-ngon-mieng-i2199260396.html,https://img.lazcdn.com/g/p/57c4609a7835c0b1c0767f571cbcdcec.png_400x400q75.png_.webp,6,6,,"45 Đã bán
(14)
Hồ Chí Minh",lazada,health,functionalfoods,6,1
"Cốm lợi Sữa Breast mum - Tăng chất lượng và số lượng sữa mẹ cho mẹ ít sữa, sữa loãng, mất sữa sau khi sinh (20gói/ hộp)",146.480 ₫,https://www.lazada.vn/products/com-loi-sua-breast-mum-tang-chat-luong-va-so-luong-sua-me-cho-me-it-sua-sua-loang-mat-sua-sau-khi-sinh-20goi-hop-i2654625860.html,https://img.lazcdn.com/g/p/4a6e74b97ef57d0d8ace281c82d2b61b.jpg_400x400q75.jpg_.webp,7,7,33% Off,Hà Nội,lazada,health,functionalfoods,7,0
Hộ Tạng Đường hộp 30v - Cải thiện biến chứng tiểu đường,160.000 ₫,https://www.lazada.vn/products/ho-tang-duong-hop-30v-cai-thien-bien-chung-tieu-duong-i2409993258.html,https://img.lazcdn.com/g/p/673a62fe3e0711dee8056797758f3149.png_400x400q75.png_.webp,8,8,,"5 Đã bán
Hà Nội",lazada,health,functionalfoods,8,1
"Gastrogel Viên nhai chống trào ngược, đau dạ dày Lo/80 viên",58.000 ₫,https://www.lazada.vn/products/gastrogel-vien-nhai-chong-trao-nguoc-dau-da-day-lo80-vien-i1637055687.html,https://img.lazcdn.com/g/p/fcdb8256363cec935e09358529ab0eca.jpg_400x400q75.jpg_.webp,9,9,,"304 Đã bán
(44)
Hồ Chí Minh",lazada,health,functionalfoods,9,0
Sâm nhung tăng cường sinh lý Bổ Thận Nam giảm xuất tinh sớm-Hộp 30 Viên,53.916 ₫,https://www.lazada.vn/products/sam-nhung-tang-cuong-sinh-ly-bo-than-nam-giam-xuat-tinh-som-hop-30-vien-i1646862516.html,https://img.lazcdn.com/g/p/2eb3a3bb92fd8420e56e329d31afaef7.jpg_400x400q75.jpg_.webp,10,10,40% Off,"1.7K Đã bán
(294)
Hồ Chí Minh",lazada,health,functionalfoods,10,0
