title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Que thử đường huyết Yuwell,125.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-yuwell-i2089479390.html,1,1,,"13 Đã bán
(1)
Bắc Ninh",lazada,health,1,
"DẦU NÓNG MẶT TRỜI OPC (60 ml) - Dùng khi nhức mỏi, tê thấp, đau lưng, Dùng ngoài để xoa bóp, chà lên nơi đau - Hàng chính hãng OPC",56.700 ₫,https://www.lazada.vn/products/dau-nong-mat-troi-opc-60-ml-dung-khi-nhuc-moi-te-thap-dau-lung-dung-ngoai-de-xoa-bop-cha-len-noi-dau-hang-chinh-hang-opc-i1542372892.html,2,2,,"281 Đã bán
(45)
Hồ Chí Minh",lazada,health,2,Official
Nhiệt ẩm kế đồng hồ cảm biến nhiệt độ và độ ẩm để bàn HTC-2 có đầu dò nhiệt nhiệt kế điện tử,46.500 ₫,https://www.lazada.vn/products/nhiet-am-ke-dong-ho-cam-bien-nhiet-do-va-do-am-de-ban-htc-2-co-dau-do-nhiet-nhiet-ke-dien-tu-i1970123099.html,3,3,47% Off,"69 Đã bán
(18)
Hà Nội",lazada,health,3,Official
Tặng Máy đo đường huyết CONTOUR PLUS ELITE (mg/dL) và 100 Kim lấy máu thử đường huyết Khi Mua Que thử đường huyết,646.000 ₫,https://www.lazada.vn/products/tang-may-do-duong-huyet-contour-plus-elite-mgdl-va-100-kim-lay-mau-thu-duong-huyet-khi-mua-que-thu-duong-huyet-i2472589551.html,4,4,24% Off,"64 Đã bán
(21)
Hồ Chí Minh",lazada,health,4,Official
Viên tiêu sưng giảm đau OP.ZEN OPC (Hộp 50 viên NC) - Giúp hỗ trợ giảm sưng đau do chấn thương - Hàng chính hãng OPC,37.800 ₫,https://www.lazada.vn/products/vien-tieu-sung-giam-dau-opzen-opc-hop-50-vien-nc-giup-ho-tro-giam-sung-dau-do-chan-thuong-hang-chinh-hang-opc-i1554844792.html,5,5,,"182 Đã bán
(41)
Hồ Chí Minh",lazada,health,5,Official
Bộ que thử và kim chích máu dùng cho máy Sinocare Safe AQ,87.500 ₫,https://www.lazada.vn/products/bo-que-thu-va-kim-chich-mau-dung-cho-may-sinocare-safe-aq-i1884193563.html,6,6,50% Off,"7 Đã bán
(3)
Hà Nội",lazada,health,6,
Máy đo đường huyết Sinocare Safe AQ tặng 1 hộp 25 que thử đường huyết và hộp 25 kim chích máu,175.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-sinocare-safe-aq-tang-1-hop-25-que-thu-duong-huyet-va-hop-25-kim-chich-mau-i267896179.html,7,7,12% Off,"41 Đã bán
(6)
Hà Nội",lazada,health,7,
Sinocare Máy Đo Đường Huyết Safe AQ Smart Kèm 50 Que Thử Và 50 Kim Chính Hãng,350.000 ₫,https://www.lazada.vn/products/sinocare-may-do-duong-huyet-safe-aq-smart-kem-50-que-thu-va-50-kim-chinh-hang-i1267966287.html,8,8,36% Off,"1.0K Đã bán
(287)
Hà Nội",lazada,health,8,Official
Bộ máy đo đường huyết Sinocare Safe AQ tặng 1 hộp 50 que thử và hộp 50 kim lấy máu,230.000 ₫,https://www.lazada.vn/products/bo-may-do-duong-huyet-sinocare-safe-aq-tang-1-hop-50-que-thu-va-hop-50-kim-lay-mau-i235307955.html,9,9,29% Off,"70 Đã bán
(15)
Hà Nội",lazada,health,9,
"Hộp 50 que thử đường huyết cao cấp Safe AQ Sinocare, hạn sử dụng 2 năm, tặng 50 kim lấy máu",180.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-cao-cap-safe-aq-sinocare-han-su-dung-2-nam-tang-50-kim-lay-mau-i2365883966.html,10,10,49% Off,"109 Đã bán
(33)
Hà Nội",lazada,health,10,
