title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
"Thảm yoga cao su định tuyến Asana/ Moon - Thư viện Yoga - Kích thước 183cm x 68cm, dày 4,5mm chống trơn trượt",432.000 ₫,https://www.lazada.vn/products/tham-yoga-cao-su-dinh-tuyen-asana-moon-thu-vien-yoga-kich-thuoc-183cm-x-68cm-day-45mm-chong-tron-truot-i1897247169.html,https://img.lazcdn.com/g/p/5dc7d7ac70e434b80215a809039d78fa.png_400x400q75.png_.webp,1,1,36% Off,"34 Đã bán
(11)
Hà Nội",lazada,health,medical,1,1
"Combo 10 Hộp - mỗi hộp 12 miếng dán vai, thắt lưng, đầu gối ngải cứu",79.900 ₫,https://www.lazada.vn/products/combo-10-hop-moi-hop-12-mieng-dan-vai-that-lung-dau-goi-ngai-cuu-i2375316631.html,https://img.lazcdn.com/g/p/7e41cc6ae02cc234b151332f09c37f3e.png_400x400q75.png_.webp,2,2,47% Off,"1.3K Đã bán
(385)
Hồ Chí Minh",lazada,health,medical,2,0
PVN61557 Cây Gãi Lưng Inox Kéo Dài Rút Gọn 50Cm - Tay Dụng Cụ Đồ Gãi Ngứa Siêu Đỉnh,4.900 ₫,https://www.lazada.vn/products/pvn61557-cay-gai-lung-inox-keo-dai-rut-gon-50cm-tay-dung-cu-do-gai-ngua-sieu-dinh-i2480995051.html,https://img.lazcdn.com/g/p/5628effe313dddb2e7c739f0aa0539cb.jpg_400x400q75.jpg_.webp,3,3,,"191 Đã bán
(30)
Hà Nội",lazada,health,medical,3,0
Dây thở oxy 2 nhánh (Cannuala oxygen) Greetmed đủ size người lớn trẻ em -1 sợi binhduongshop,7.125 ₫,https://www.lazada.vn/products/day-tho-oxy-2-nhanh-cannuala-oxygen-greetmed-du-size-nguoi-lon-tre-em-1-soi-binhduongshop-i1538072288.html,https://img.lazcdn.com/g/p/305ce165580afb4e03393370877d0214.jpg_400x400q75.jpg_.webp,4,4,41% Off,"42 Đã bán
(4)
Hồ Chí Minh",lazada,health,medical,4,0
Miếng Cao Dán Hồng Sâm Màu Vàng Himena Trị Nhức Mỏi Hàn Quốc Túi 20 Miếng,16.747 ₫,https://www.lazada.vn/products/mieng-cao-dan-hong-sam-mau-vang-himena-tri-nhuc-moi-han-quoc-tui-20-mieng-i1831798665.html,https://img.lazcdn.com/g/p/561d7a06aac4845ad33e529d0e2623dd.jpg_400x400q75.jpg_.webp,5,5,44% Off,"4.1K Đã bán
(252)
Hồ Chí Minh",lazada,health,medical,5,0
(Dòng mới 2023) Máy Đo Huyết Áp Bluetooth OMRON HEM-7140T1 - Kết nối điện thoại thông minh,667.000 ₫,https://www.lazada.vn/products/dong-moi-2023-may-do-huyet-ap-bluetooth-omron-hem-7140t1-ket-noi-dien-thoai-thong-minh-i2253576021.html,https://img.lazcdn.com/g/p/bb708c48f79f8fbf94657f9719c2f397.png_400x400q75.png_.webp,6,6,"29% Off
LazTrợ giá
Áp dụng voucher","5.4K Đã bán
(1244)
Hồ Chí Minh",lazada,health,medical,6,1
(Mua 2 tặng 1) Miếng dán Codoca ( hộp 7 miếng),98.000 ₫,https://www.lazada.vn/products/mua-2-tang-1-mieng-dan-codoca-hop-7-mieng-i2356566609.html,https://img.lazcdn.com/g/p/b517b8555ce814c41103abba3ce3ca41.jpg_400x400q75.jpg_.webp,7,7,,"(1)
Hà Nội",lazada,health,medical,7,0
Máy đo đường huyết One Touch Ultra Plus Flex Johnson & Johnson,1.228.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-one-touch-ultra-plus-flex-johnson-johnson-i650256383.html,https://img.lazcdn.com/g/p/7cd133d26d9864d304152800e20bc8c6.jpg_400x400q75.jpg_.webp,8,8,49% Off,"8 Đã bán
(3)
Hồ Chí Minh",lazada,health,medical,8,0
Máy đo đường huyết Sinocare Safe AQ tặng 1 hộp 25 que thử đường huyết và hộp 25 kim chích máu,175.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-sinocare-safe-aq-tang-1-hop-25-que-thu-duong-huyet-va-hop-25-kim-chich-mau-i267896179.html,https://img.lazcdn.com/g/p/f66bb7b8872bc0b1c7f583cc6f00fd64.jpg_400x400q75.jpg_.webp,9,9,12% Off,"41 Đã bán
(6)
Hà Nội",lazada,health,medical,9,0
"Ống giác hơi thay thể, dụng cụ bơm hơi nhựa cho bộ giác hơi, kích thước 25x5x7cm",16.747 ₫,https://www.lazada.vn/products/ong-giac-hoi-thay-the-dung-cu-bom-hoi-nhua-cho-bo-giac-hoi-kich-thuoc-25x5x7cm-i2556312974.html,https://img.lazcdn.com/g/p/2e167d574007c39686ea43d5f8670822.jpg_400x400q75.jpg_.webp,10,10,42% Off,"43 Đã bán
(12)
Hồ Chí Minh",lazada,health,medical,10,0
Vòng bít túi hơi máy đo huyết áp điện tử Microlife,200.000 ₫,https://www.lazada.vn/products/vong-bit-tui-hoi-may-do-huyet-ap-dien-tu-microlife-i976444347.html,https://img.lazcdn.com/g/p/b81d5721355aeaefb79be55815889752.png_400x400q75.png_.webp,11,11,,"19 Đã bán
(7)
Hồ Chí Minh",lazada,health,medical,11,0
"Máy đo Đường huyết, Mỡ máu, AxitUric 5 trong 1 Facare FC-M168 (TD-4216) bluetooth",850.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-mo-mau-axituric-5-trong-1-facare-fc-m168-td-4216-bluetooth-i1955345988.html,https://img.lazcdn.com/g/p/d0d97dc73ef38200bed758466767335f.jpg_400x400q75.jpg_.webp,12,12,43% Off,"5 Đã bán
(1)
Hà Nội",lazada,health,medical,12,0
Hộp 50 Que Thử Đường Huyết Safe Accu Sinocare + Tặng Kim Chích,139.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-safe-accu-sinocare-tang-kim-chich-i1628775622.html,https://img.lazcdn.com/g/p/b311737c7b7157cbac1d1f46e122b44e.png_400x400q75.png_.webp,13,13,,"200 Đã bán
(49)
Hà Nội",lazada,health,medical,13,0
Máy đo đường huyết MICROLIFE DiaRite BGM (Máy + 50 que thử khi mua kèm ở quà tặng) - MEDICAL,688.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-microlife-diarite-bgm-may-50-que-thu-khi-mua-kem-o-qua-tang-medical-i1668150125.html,https://img.lazcdn.com/g/p/52902d92f71e9bbb01e6c64bc404a351.jpg_400x400q75.jpg_.webp,14,14,49% Off,"320 Đã bán
(62)
Hồ Chí Minh",lazada,health,medical,14,1
[HCM]Dầu Nóng Xoa Bóp chai 100ml Của Hàn Quốc có lăn – GV390,22.500 ₫,https://www.lazada.vn/products/hcmdau-nong-xoa-bop-chai-100ml-cua-han-quoc-co-lan-gv390-i1411266855.html,https://img.lazcdn.com/g/p/3fb13562caffec10d1af4ccd6a18775f.jpg_400x400q75.jpg_.webp,15,15,,"870 Đã bán
(100)
Hồ Chí Minh",lazada,health,medical,15,0
Cốm Dạ Dày Stomac - Giảm Ngay Khó Chịu Dạ Dày Sau 1 Gói Đầu Tiên Sử Dụng- Hộp 10 gói,72.000 ₫,https://www.lazada.vn/products/com-da-day-stomac-giam-ngay-kho-chiu-da-day-sau-1-goi-dau-tien-su-dung-hop-10-goi-i1871190024.html,https://img.lazcdn.com/g/p/9b04b2c562ed56480c5ba7622c984aa9.jpg_400x400q75.jpg_.webp,16,16,,"207 Đã bán
(32)
Hồ Chí Minh",lazada,health,medical,16,0
"Máy đo huyết áp bắp tay Omron HEM 7142T1 có kết nối bluetooth, áp dụng công nghệ thông minh dễ sử dụng",850.000 ₫,https://www.lazada.vn/products/may-do-huyet-ap-bap-tay-omron-hem-7142t1-co-ket-noi-bluetooth-ap-dung-cong-nghe-thong-minh-de-su-dung-i2398570265.html,https://img.lazcdn.com/g/p/40ea6714b56332fdff530e248d263de8.jpg_400x400q75.jpg_.webp,17,17,15% Off,"12 Đã bán
(7)
Hà Nội",lazada,health,medical,17,0
Xịt mũi viêm xoang thảo dược Rohto Nosewash 35ml,52.000 ₫,https://www.lazada.vn/products/xit-mui-viem-xoang-thao-duoc-rohto-nosewash-35ml-i385980125.html,https://img.lazcdn.com/g/p/f372c1ae51554740db0e0825d27b86c9.jpg_400x400q75.jpg_.webp,18,18,10% Off,"1.6K Đã bán
(278)
Hồ Chí Minh",lazada,health,medical,18,1
Que thử đường huyết Safe Accu Sinocare 50 que + 50 Kim chích máu,151.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-safe-accu-sinocare-50-que-50-kim-chich-mau-i275396909.html,https://img.lazcdn.com/g/p/96a089254ad766c70c917f90b8cbada3.jpg_400x400q75.jpg_.webp,19,19,5% Off,"5.9K Đã bán
(1017)
Hồ Chí Minh",lazada,health,medical,19,0
Máy Đo Đường Huyết On Call Plus Kèm Hộp 25 Que Thử Đường Huyết On Call Plus Và 100 Kim Chích Máu [Bảo Hành Trọn Đời],529.000 ₫,https://www.lazada.vn/products/may-do-duong-huyet-on-call-plus-kem-hop-25-que-thu-duong-huyet-on-call-plus-va-100-kim-chich-mau-bao-hanh-tron-doi-i2603182525.html,https://img.lazcdn.com/g/p/50f4dba380b04c0c2b647ef7ace6ace5.png_400x400q75.png_.webp,20,20,44% Off,"46 Đã bán
(15)
Hồ Chí Minh",lazada,health,medical,20,1
Máy đo Acid Uric (kiểm tra Gout) Benecheck Plus,699.000 ₫,https://www.lazada.vn/products/may-do-acid-uric-kiem-tra-gout-benecheck-plus-i1633245072.html,https://img.lazcdn.com/g/p/e4fbc5117dfa7738a1bcd040ac5d1fa4.jpg_400x400q75.jpg_.webp,21,21,13% Off,"(1)
Hồ Chí Minh",lazada,health,medical,21,0
Cao Dán Sâm Đỏ Himena Hàn Quốc Giảm Nhức Mỏi Hiệu Quả Túi 20 Miếng Hàng Chính Hãng,16.747 ₫,https://www.lazada.vn/products/cao-dan-sam-do-himena-han-quoc-giam-nhuc-moi-hieu-qua-tui-20-mieng-hang-chinh-hang-i1831854078.html,https://img.lazcdn.com/g/p/7e6d5c96cc3934b7a84ac04be00a1044.jpg_400x400q75.jpg_.webp,22,22,44% Off,"4.0K Đã bán
(316)
Hồ Chí Minh",lazada,health,medical,22,0
"Khẩu trang 3D mask cao cấp lọc bẩn , khói bụi ( Hộp /50 cái)",18.000 ₫,https://www.lazada.vn/products/khau-trang-3d-mask-cao-cap-loc-ban-khoi-bui-hop-50-cai-i1829985927.html,https://img.lazcdn.com/g/p/79dbbd6f1c6e89788df62ebe39e944e2.jpg_400x400q75.jpg_.webp,23,23,49% Off,"347 Đã bán
(26)
Hồ Chí Minh",lazada,health,medical,23,0
Sinocare Máy Đo Đường Huyết Safe Accu 2 Tặng Kèm 50 Que Và 50 Kim,255.860 ₫,https://www.lazada.vn/products/sinocare-may-do-duong-huyet-safe-accu-2-tang-kem-50-que-va-50-kim-i1269245807.html,https://img.lazcdn.com/g/p/cbf7d13e825aabdc44026a402e95a0f0.png_400x400q75.png_.webp,24,24,27% Off,"3.1K Đã bán
(452)
Hà Nội",lazada,health,medical,24,1
(Dòng mới 2023) Máy Đo Huyết Áp Bluetooth OMRON HEM-7141T1 - Kết nối điện thoại thông minh,762.700 ₫,https://www.lazada.vn/products/dong-moi-2023-may-do-huyet-ap-bluetooth-omron-hem-7141t1-ket-noi-dien-thoai-thong-minh-i2253355906.html,https://img.lazcdn.com/g/p/e8bbc5aa544ed2d242026d94369266a8.png_400x400q75.png_.webp,25,25,"22% Off
LazTrợ giá
Áp dụng voucher","1.1K Đã bán
(315)
Hồ Chí Minh",lazada,health,medical,25,1
Que Thử Đường Huyết YUWELL ACCUSURE 710 [50 Que + 50 Kim],223.000 ₫,https://www.lazada.vn/products/que-thu-duong-huyet-yuwell-accusure-710-50-que-50-kim-i1681530396.html,https://img.lazcdn.com/g/p/33faccfd05f0b87b63a1aa749de866e3.jpg_400x400q75.jpg_.webp,26,26,16% Off,"35 Đã bán
(7)
Hà Nội",lazada,health,medical,26,0
Ống giác hơi bằng trúc nhiều size bán lẻ,15.000 ₫,https://www.lazada.vn/products/ong-giac-hoi-bang-truc-nhieu-size-ban-le-i2024607714.html,https://img.lazcdn.com/g/p/521789d3ee34223bf54da6989b682243.jpg_400x400q75.jpg_.webp,27,27,,"132 Đã bán
(4)
Hà Nội",lazada,health,medical,27,0
Dầu Nóng Thảo Dược Diệu Quang 801 20ml Thái Lan (date 2028),145.000 ₫,https://www.lazada.vn/products/dau-nong-thao-duoc-dieu-quang-801-20ml-thai-lan-date-2028-i2493116235.html,https://img.lazcdn.com/g/p/a9b7c42e7df109c8024a5d658b0a076b.jpg_400x400q75.jpg_.webp,28,28,3% Off,"10 Đã bán
(2)
Hồ Chí Minh",lazada,health,medical,28,0
"Hương Ngải Nhung, Nhang Ngải Cứu, Điếu Ngải Đông Y - Đau Đâu Hơ Đó - 100% Thảo Mộc Thiên Nhiên [Gói 10,7 Cây]",22.000 ₫,https://www.lazada.vn/products/huong-ngai-nhung-nhang-ngai-cuu-dieu-ngai-dong-y-dau-dau-ho-do-100-thao-moc-thien-nhien-goi-107-cay-i1549951703.html,https://img.lazcdn.com/g/p/379ba198c183a2443700ce6d9ff34bc8.jpg_400x400q75.jpg_.webp,29,29,19% Off,"1.1K Đã bán
(82)
Hà Nội",lazada,health,medical,29,0
Hộp 50 que thử đường huyết Sinocare Safe AQ Date dài + Tặng 50 kim chích máu,154.000 ₫,https://www.lazada.vn/products/hop-50-que-thu-duong-huyet-sinocare-safe-aq-date-dai-tang-50-kim-chich-mau-i735104899.html,https://img.lazcdn.com/g/p/919564862e79025f6ad2e8ba3e6f170c.jpg_400x400q75.jpg_.webp,30,30,48% Off,"11 Đã bán
(3)
Hà Nội",lazada,health,medical,30,0
Túi chườm nóng lạnh mini đáng yêu sưởi ấm chườm đá tay chân chườm nóng đau bụng kinh cho chị em,7.999 ₫,https://www.lazada.vn/products/tui-chuom-nong-lanh-mini-dang-yeu-suoi-am-chuom-da-tay-chan-chuom-nong-dau-bung-kinh-cho-chi-em-i1321968856.html,https://img.lazcdn.com/g/p/325fd55aa5d3e4b73725766c8169e3be.png_400x400q75.png_.webp,31,31,47% Off,"23 Đã bán
(4)
Hà Nội",lazada,health,medical,31,0
Miếng Dán Nóng Pharmacity (Hộp 20 miếng),20.000 ₫,https://www.lazada.vn/products/mieng-dan-nong-pharmacity-hop-20-mieng-i2082608057.html,https://img.lazcdn.com/g/p/31272ea70cbc40250ccb4df609a1d322.png_400x400q75.png_.webp,32,32,,"185 Đã bán
(27)
Đồng Nai",lazada,health,medical,32,1
