title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Điện Thoại OPPO A18 (4GB/128GB) - Hàng Chính Hãng,3.690.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-a18-4gb128gb-hang-chinh-hang-i2526461201.html,https://img.lazcdn.com/g/p/37a59fee3d346d042997658b7e2a0ac1.jpg_400x400q75.jpg_.webp,1,1,8% Off,"15 Đã bán
(6)
Hồ Chí Minh",lazada,smartphone,1,1
Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.790.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,https://img.lazcdn.com/g/p/baa895eb9b86255786b4e33728c8b8fa.jpg_400x400q75.jpg_.webp,2,2,4% Off,"402 Đã bán
(69)
Hồ Chí Minh",lazada,smartphone,2,1
"Điện thoại Xiaomi Redmi A2| IPS LCD 6.52"" HD+| MediaTek Helio G36| 5000 mAh",2.190.000 ₫,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-a2-ips-lcd-652-hd-mediatek-helio-g36-5000-mah-i2407659466.html,https://img.lazcdn.com/g/p/0f42e2b38e002cbc475d2d1a48df10f8.jpg_400x400q75.jpg_.webp,3,3,,"8.3K Đã bán
(28)
Hồ Chí Minh",lazada,smartphone,3,1
iPhone 15 Plus - Hàng Chính Hãng VN/A,22.390.000 ₫,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html,https://img.lazcdn.com/g/ff/kf/Sa9b604c5a244493c9c1c6881efbd2d79z.png_400x400q75.png_.webp,4,4,14% Off,"679 Đã bán
(141)
Hồ Chí Minh",lazada,smartphone,4,1
"Điện Thoại iTel iT9210, iT9200 4G - Bắt Wifi + Phát Wifi Từ Sim, Màn Hình Lớn, Pin Trâu 1900mAh, Lướt Web Thả Ga [CHÍNH HÃNG]",645.000 ₫,https://www.lazada.vn/products/dien-thoai-itel-it9210-it9200-4g-bat-wifi-phat-wifi-tu-sim-man-hinh-lon-pin-trau-1900mah-luot-web-tha-ga-chinh-hang-i1906650401.html,https://img.lazcdn.com/g/p/8eaa3d48b81932d2d195834d8d3be385.jpg_400x400q75.jpg_.webp,5,5,35% Off,"(2)
Hà Nội",lazada,smartphone,5,0
Điện thoại OPPO Reno11F 5G (8GB/256GB) - Hàng chính hãng,8.990.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-reno11f-5g-8gb256gb-hang-chinh-hang-i2585085427.html,https://img.lazcdn.com/g/p/68b92564b73035db95823323320710a0.jpg_400x400q75.jpg_.webp,6,6,,Hồ Chí Minh,lazada,smartphone,6,1
"Điện thoại Tecno SPARK GO 2024 (4+4)GB/64GB - Unisoc T606 | 5000 mAh | 6,6"" HD+",2.590.000 ₫,https://www.lazada.vn/products/dien-thoai-tecno-spark-go-2024-44gb64gb-unisoc-t606-5000-mah-66-hd-i2526299640.html,https://img.lazcdn.com/g/p/6816fc9632f0a9b5314191a6290f7a0e.jpg_400x400q75.jpg_.webp,7,7,,"10 Đã bán
(4)
Hồ Chí Minh",lazada,smartphone,7,1
iPhone 15 Pro Max - Hàng Chính Hãng VN/A,30.290.000 ₫,https://www.lazada.vn/products/iphone-15-pro-max-hang-chinh-hang-vna-i2417233670.html,https://img.lazcdn.com/g/ff/kf/S5902e2ad8f264790ac80ce1bfce75d07e.png_400x400q75.png_.webp,8,8,13% Off,"10.3K Đã bán
(2471)
Hồ Chí Minh",lazada,smartphone,8,1
"[Điện thoại] Blackberry 7290 Likenew, đẹp theo năm tháng, trải nghiệm tuyệt vời cho người đam mê yêu hoài cổ",769.000 ₫,https://www.lazada.vn/products/dien-thoai-blackberry-7290-likenew-dep-theo-nam-thang-trai-nghiem-tuyet-voi-cho-nguoi-dam-me-yeu-hoai-co-i2386157426.html,https://img.lazcdn.com/g/p/96f2669219e3cc460f7d72277702b7bc.jpg_400x400q75.jpg_.webp,9,9,23% Off,Hải Dương,lazada,smartphone,9,0
iPhone 13 - Hàng Chính Hãng VN/A,13.890.000 ₫,https://www.lazada.vn/products/iphone-13-hang-chinh-hang-vna-i1525577176.html,https://img.lazcdn.com/g/p/b9acb3e14a64bcce0e33f69d296df29c.png_400x400q75.png_.webp,10,10,44% Off,"4.7K Đã bán
(980)
Hồ Chí Minh",lazada,smartphone,10,1
