title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
[ A - VOUCHER ] ·SIÊU KHUYẾN MÃI lPHONE 15 Promax . Số lượng có hạng,29.000 ₫,https://www.lazada.vn/products/a-voucher-sieu-khuyen-mai-lphone-15-promax-so-luong-co-hang-i2652757824.html,1,1,,"20 Đã bán
(20)
Hồ Chí Minh",lazada,voucher,1,
Quà tặng Thành Viên - E voucher 35K Khách hàng thân thiết SAFEMALL-01,35.000 ₫,https://www.lazada.vn/products/qua-tang-thanh-vien-e-voucher-35k-khach-hang-than-thiet-safemall-01-i2652419138.html,2,2,,"77 Đã bán
(12)
Bắc Ninh",lazada,voucher,2,Official
Quà tặng Thành Viên E voucher 35K Khách hàng thân thiết Safety Mart-3,35.000 ₫,https://www.lazada.vn/products/qua-tang-thanh-vien-e-voucher-35k-khach-hang-than-thiet-safety-mart-3-i2634136595.html,3,3,,"125 Đã bán
(22)
Bắc Ninh",lazada,voucher,3,Official
[Rau Má Mix] E- Voucher Giảm 15.000 vnd cho hóa đơn 50.000 vnd,1.000 ₫,https://www.lazada.vn/products/rau-ma-mix-e-voucher-giam-15000-vnd-cho-hoa-don-50000-vnd-i1832610659.html,4,4,50% Off,"1.3K Đã bán
(58)
Hồ Chí Minh",lazada,voucher,4,Official
Tài khoản Netflix Location 01 tháng [Voucher Gamikey],49.000 ₫,https://www.lazada.vn/products/tai-khoan-netflix-location-01-thang-voucher-gamikey-i2408773584.html,5,5,,"16 Đã bán
(6)
Hà Tĩnh",lazada,voucher,5,
Evoucher - Phiếu Quà Tặng GrabGifts 30K,30.000 ₫,https://www.lazada.vn/products/evoucher-phieu-qua-tang-grabgifts-30k-i2352816792.html,6,6,,"568 Đã bán
(72)
Hà Nội",lazada,voucher,6,
[Giftee - Grab] e - Voucher 30.000 tại Grab Transportation,29.400 ₫,https://www.lazada.vn/products/giftee-grab-e-voucher-30000-tai-grab-transportation-i2239238856.html,7,7,,"16 Đã bán
(1)
Hồ Chí Minh",lazada,voucher,7,
GrabGifts e-Voucher 40.000 ₫,40.000 ₫,https://www.lazada.vn/products/grabgifts-e-voucher-40000-i2426479375.html,8,8,,"346 Đã bán
(70)
Hồ Chí Minh",lazada,voucher,8,
GrabGifts (Food) e-Voucher 20.000 ₫,20.000 ₫,https://www.lazada.vn/products/grabgifts-food-e-voucher-20000-i2427141783.html,9,9,,"27 Đã bán
(3)
Hồ Chí Minh",lazada,voucher,9,
[HCM] Papas' Chicken _ Voucher Giảm Giá 100K áp dụng tại 6 chi nhánh (Bill 500K),10.000 ₫,https://www.lazada.vn/products/hcm-papas-chicken-_-voucher-giam-gia-100k-ap-dung-tai-6-chi-nhanh-bill-500k-i594060611.html,10,10,,"482 Đã bán
(45)
Hồ Chí Minh",lazada,voucher,10,
