title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,subcaetegory,official_idx,official
TINGOAN® - Áo len trễ vai một bên sẻ vạt buộc dây đen AFTER YOU SWEATER/BL/FS,390.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-tre-vai-mot-ben-se-vat-buoc-day-den-after-you-sweaterblfs-i1635595905.html,1,1,,"185 Đã bán
(33)
Hà Nội",lazada,woman,aolen,1,Official
Áo Khoác Cardigan Nam Nữ Xám Kẻ Sọc Viền Đỏ & Xanh,79.000 ₫,https://www.lazada.vn/products/ao-khoac-cardigan-nam-nu-xam-ke-soc-vien-do-xanh-i2053970369.html,2,2,28% Off,"102 Đã bán
(38)
Hà Nội",lazada,woman,aolen,2,
TINGOAN® - Áo croptop len trắng cổ vuông viền đen DARA TOP/WH,430.000 ₫,https://www.lazada.vn/products/tingoan-ao-croptop-len-trang-co-vuong-vien-den-dara-topwh-i2500352887.html,3,3,,"33 Đã bán
(7)
Hà Nội",lazada,woman,aolen,3,Official
Áo cadigan nỉ vạch tay Fom dáng thụng tay bồng mặc siêu yêu luôn,69.000 ₫,https://www.lazada.vn/products/ao-cadigan-ni-vach-tay-fom-dang-thung-tay-bong-mac-sieu-yeu-luon-i2078110631.html,4,4,50% Off,"8 Đã bán
(1)
Hà Nội",lazada,woman,aolen,4,
Áo Len Nữ Áo Len Cánh Dơi Thêu Ngực Dễ Thương ALN010Z Shop Mây,139.000 ₫,https://www.lazada.vn/products/ao-len-nu-ao-len-canh-doi-theu-nguc-de-thuong-aln010z-shop-may-i369464850.html,5,5,22% Off,"125 Đã bán
(37)
Hồ Chí Minh",lazada,woman,aolen,5,
"Áo Khoác Nữ, Áo Cadigan Vạch Tay Kẻ 2 Bên Chất nỉ.hn",62.000 ₫,https://www.lazada.vn/products/ao-khoac-nu-ao-cadigan-vach-tay-ke-2-ben-chat-nihn-i2442388927.html,6,6,48% Off,"10 Đã bán
(5)
Hà Nội",lazada,woman,aolen,6,
TINGOAN® - Áo len xù cổ tròn túi zúm ngực dáng lửng có 2 line viền áo hồng MIMI TOP/PK PHIÊN BẢN MỚI T6/2024,490.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-xu-co-tron-tui-zum-nguc-dang-lung-co-2-line-vien-ao-hong-mimi-toppk-phien-ban-moi-t62024-i2466877232.html,7,7,,"33 Đã bán
(12)
Hà Nội",lazada,woman,aolen,7,Official
Áo Khoác Cardigan 2 Sọc Tay Xám Đen Nâu Basic,69.000 ₫,https://www.lazada.vn/products/ao-khoac-cardigan-2-soc-tay-xam-den-nau-basic-i2120238835.html,8,8,37% Off,"219 Đã bán
(69)
Hà Nội",lazada,woman,aolen,8,
TINGOAN® - Áo len xù cổ tròn túi zúm ngực dáng lửng có 2 line viền áo đen MIMI TOP/BL,490.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-xu-co-tron-tui-zum-nguc-dang-lung-co-2-line-vien-ao-den-mimi-topbl-i2427088982.html,9,9,,"39 Đã bán
(14)
Hà Nội",lazada,woman,aolen,9,Official
TINGOAN® - Áo len mỏng đen ngắn tay cổ tròn vân hoa FLOWER TOP/BL,430.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-mong-den-ngan-tay-co-tron-van-hoa-flower-topbl-i2410763161.html,10,10,,"44 Đã bán
(12)
Hà Nội",lazada,woman,aolen,10,Official
ÁO CARDIGAN ÁO KHOÁC Nữ Form Rộng Viền Túi Đen Trắng Phong Cách Basic,68.000 ₫,https://www.lazada.vn/products/ao-cardigan-ao-khoac-nu-form-rong-vien-tui-den-trang-phong-cach-basic-i1977065068.html,11,11,38% Off,"1.3K Đã bán
(350)
Hà Nội",lazada,woman,aolen,11,
TINGOAN® - Áo len mỏng xanh blue ngắn tay cổ tròn vân hoa FLOWER TOP/BLUE,430.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-mong-xanh-blue-ngan-tay-co-tron-van-hoa-flower-topblue-i2407036563.html,12,12,,"37 Đã bán
(7)
Hà Nội",lazada,woman,aolen,12,Official
[Mã FATREND5 giảm đến 30k đơn 99k] Áo Khoác Cardigan Nữ Kẻ Thoi Form Rộng Đen/ Hồng Chất Nỉ,58.000 ₫,https://www.lazada.vn/products/ma-fatrend5-giam-den-30k-don-99k-ao-khoac-cardigan-nu-ke-thoi-form-rong-den-hong-chat-ni-i2308662546.html,13,13,29% Off,"195 Đã bán
(78)
Hà Nội",lazada,woman,aolen,13,
"ÁO KHOÁC NỮ LEN MỎNG SIÊU HOT [ ZOZO 000 ] ,ÁO KHOÁC NỮ",59.000 ₫,https://www.lazada.vn/products/ao-khoac-nu-len-mong-sieu-hot-zozo-000-ao-khoac-nu-i1285431740.html,14,14,54% Off,"54 Đã bán
(17)
Hồ Chí Minh",lazada,woman,aolen,14,
Áo Khoác Cardigan Viền Xanh Nâu FRMLK Form Rộng,58.000 ₫,https://www.lazada.vn/products/ao-khoac-cardigan-vien-xanh-nau-frmlk-form-rong-i2308709491.html,15,15,29% Off,"520 Đã bán
(206)
Hà Nội",lazada,woman,aolen,15,
[DUY NHẤT 15-17.10 - MUA 3 GIẢM THÊM 15%] TINGOAN® - Áo len xù cổ tròn túi zúm ngực dáng lửng có 2 line viền áo trắng MIMI TOP/WH PHIÊN BẢN MỚI T6/2024,490.000 ₫,https://www.lazada.vn/products/duy-nhat-15-1710-mua-3-giam-them-15-tingoan-ao-len-xu-co-tron-tui-zum-nguc-dang-lung-co-2-line-vien-ao-trang-mimi-topwh-phien-ban-moi-t62024-i2427166035.html,16,16,,"11 Đã bán
(1)
Hà Nội",lazada,woman,aolen,16,Official
Áo Khoác Cardigan NỈ Nữ Form Rộng Kẻ Caro Kim Cương Hàn Quốc Đen Hồng New,59.000 ₫,https://www.lazada.vn/products/ao-khoac-cardigan-ni-nu-form-rong-ke-caro-kim-cuong-han-quoc-den-hong-new-i2308851015.html,17,17,29% Off,"330 Đã bán
(125)
Hà Nội",lazada,woman,aolen,17,
TINGOAN® - Áo khoác cardigan len xù mint viền trắng RAINBOW BABY CARDIGAN/MINT,510.000 ₫,https://www.lazada.vn/products/tingoan-ao-khoac-cardigan-len-xu-mint-vien-trang-rainbow-baby-cardiganmint-i2411431617.html,18,18,,"46 Đã bán
(15)
Hà Nội",lazada,woman,aolen,18,Official
Áo Khoác Cardigan Màu Be Sọc 2 bên tay Nữ form rộng chất nỉ bông,79.000 ₫,https://www.lazada.vn/products/ao-khoac-cardigan-mau-be-soc-2-ben-tay-nu-form-rong-chat-ni-bong-i2097319520.html,19,19,47% Off,"158 Đã bán
(32)
Hà Nội",lazada,woman,aolen,19,
Áo len gân cổ 3 phân,66.000 ₫,https://www.lazada.vn/products/ao-len-gan-co-3-phan-i361580471.html,20,20,49% Off,"561 Đã bán
(117)
Hà Nội",lazada,woman,aolen,20,
"(xả hàng) ÁO KHOÁC CADIGAN,ÁO KHOÁC NHẸ PHỐI SỌC QUỐC DÂN",59.000 ₫,https://www.lazada.vn/products/xa-hang-ao-khoac-cadiganao-khoac-nhe-phoi-soc-quoc-dan-i2053033924.html,21,21,46% Off,"207 Đã bán
(71)
Nam Định",lazada,woman,aolen,21,
Áo len nữ dệt kim tay dài cổ chữ V dáng rộng 5 màu thời trang cho nữ kiểu Hàn Quốc A-17,69.000 ₫,https://www.lazada.vn/products/ao-len-nu-det-kim-tay-dai-co-chu-v-dang-rong-5-mau-thoi-trang-cho-nu-kieu-han-quoc-a-17-i2221882859.html,22,22,,"9 Đã bán
Hồ Chí Minh",lazada,woman,aolen,22,
kho sẵn sàng🎁 Áo Khoác Cardigan Vải Voan Mỏng Dáng Ngắn Thời Trang,69.000 ₫,https://www.lazada.vn/products/kho-san-sang-ao-khoac-cardigan-vai-voan-mong-dang-ngan-thoi-trang-i2205489975.html,23,23,,Hồ Chí Minh,lazada,woman,aolen,23,
TINGOAN® - Áo len trắng trễ vai rút dây tay dài sẻ vạt LUCIA TOP/WH,390.000 ₫,https://www.lazada.vn/products/tingoan-ao-len-trang-tre-vai-rut-day-tay-dai-se-vat-lucia-topwh-i1975787759.html,24,24,,"67 Đã bán
(10)
Hà Nội",lazada,woman,aolen,24,Official
[TỪ 20H 05.06 - 06.06 | VOUCHER 100K | MUA 4 GIẢM 15%] Áo cardigan cổ V tay dài nữ MARC FASHION CBVH070123,143.000 ₫,https://www.lazada.vn/products/tu-20h-0506-0606-voucher-100k-mua-4-giam-15-ao-cardigan-co-v-tay-dai-nu-marc-fashion-cbvh070123-i2414678040.html,25,25,"52% Off
LazFlash Sale,kết thúc sau 20h","1.4K Đã bán
(377)
Hồ Chí Minh",lazada,woman,aolen,25,Official
Áo Khoác Cadigan CHẤT NỈ Tay Dài Cổ V From Rộng Phong Cách Hàn Quốc,58.000 ₫,https://www.lazada.vn/products/ao-khoac-cadigan-chat-ni-tay-dai-co-v-from-rong-phong-cach-han-quoc-i2200126589.html,26,26,48% Off,"673 Đã bán
(225)
Hà Nội",lazada,woman,aolen,26,
